"ISO Country Code", "Region Name", "ISO_3166-2 Region Code", "Bytes3 Result"
AD,Andorra la Vella,AD-07,303700
AD,Canillo,AD-02,303200
AD,Encamp,AD-03,303300
AD,Escaldes-Engordany,AD-08,303800
AD,La Massana,AD-04,303400
AD,Ordino,AD-05,303500
AD,Sant Julia de Loria,AD-06,303600
AE,'Ajman,AE-AJ,414a00
AE,Abu Zaby,AE-AZ,415a00
AE,Al Fujayrah,AE-FU,465500
AE,Ash Shariqah,AE-SH,534800
AE,Dubayy,AE-DU,445500
AE,Ra's al Khaymah,AE-RK,524b00
AE,Umm al Qaywayn,AE-UQ,555100
AF,Badakhshan,AF-BDS,424453
AF,Badghis,AF-BDG,424447
AF,Baghlan,AF-BGL,42474c
AF,Balkh,AF-BAL,42414c
AF,Bamyan,AF-BAM,42414d
AF,Daykundi,AF-DAY,444159
AF,Farah,AF-FRA,465241
AF,Faryab,AF-FYB,465942
AF,Ghazni,AF-GHA,474841
AF,Ghor,AF-GHO,47484f
AF,Helmand,AF-HEL,48454c
AF,Herat,AF-HER,484552
AF,Jowzjan,AF-JOW,4a4f57
AF,Kabul,AF-KAB,4b4142
AF,Kandahar,AF-KAN,4b414e
AF,Kapisa,AF-KAP,4b4150
AF,Khost,AF-KHO,4b484f
AF,Kunar,AF-KNR,4b4e52
AF,Kunduz,AF-KDZ,4b445a
AF,Laghman,AF-LAG,4c4147
AF,Logar,AF-LOG,4c4f47
AF,Nangarhar,AF-NAN,4e414e
AF,Nimroz,AF-NIM,4e494d
AF,Nuristan,AF-NUR,4e5552
AF,Paktika,AF-PKA,504b41
AF,Paktiya,AF-PIA,504941
AF,Panjshayr,AF-PAN,50414e
AF,Parwan,AF-PAR,504152
AF,Samangan,AF-SAM,53414d
AF,Sar-e Pul,AF-SAR,534152
AF,Takhar,AF-TAK,54414b
AF,Uruzgan,AF-URU,555255
AF,Wardak,AF-WAR,574152
AF,Zabul,AF-ZAB,5a4142
AG,Saint John,AG-04,303400
AG,Saint Mary,AG-05,303500
AG,Saint Paul,AG-06,303600
AL,Berat,AL-01,303100
AL,Diber,AL-09,303900
AL,Durres,AL-02,303200
AL,Elbasan,AL-03,303300
AL,Fier,AL-04,303400
AL,Gjirokaster,AL-05,303500
AL,Korce,AL-06,303600
AL,Kukes,AL-07,303700
AL,Lezhe,AL-08,303800
AL,Shkoder,AL-10,313000
AL,Tirane,AL-11,313100
AL,Vlore,AL-12,313200
AM,Aragacotn,AM-AG,414700
AM,Ararat,AM-AR,415200
AM,Armavir,AM-AV,415600
AM,Erevan,AM-ER,455200
AM,Gegark'unik',AM-GR,475200
AM,Kotayk',AM-KT,4b5400
AM,Lori,AM-LO,4c4f00
AM,Sirak,AM-SH,534800
AM,Syunik',AM-SU,535500
AM,Tavus,AM-TV,545600
AM,Vayoc Jor,AM-VD,564400
AO,Bengo,AO-BGO,42474f
AO,Benguela,AO-BGU,424755
AO,Bie,AO-BIE,424945
AO,Cabinda,AO-CAB,434142
AO,Cunene,AO-CNN,434e4e
AO,Huambo,AO-HUA,485541
AO,Huila,AO-HUI,485549
AO,Kuando Kubango,AO-CCU,434355
AO,Kwanza Norte,AO-CNO,434e4f
AO,Kwanza Sul,AO-CUS,435553
AO,Luanda,AO-LUA,4c5541
AO,Lunda Norte,AO-LNO,4c4e4f
AO,Lunda Sul,AO-LSU,4c5355
AO,Malange,AO-MAL,4d414c
AO,Moxico,AO-MOX,4d4f58
AO,Namibe,AO-NAM,4e414d
AO,Uige,AO-UIG,554947
AO,Zaire,AO-ZAI,5a4149
AR,Buenos Aires,AR-B,420000
AR,Catamarca,AR-K,4b0000
AR,Chaco,AR-H,480000
AR,Chubut,AR-U,550000
AR,Ciudad Autonoma de Buenos Aires,AR-C,430000
AR,Cordoba,AR-X,580000
AR,Corrientes,AR-W,570000
AR,Entre Rios,AR-E,450000
AR,Formosa,AR-P,500000
AR,Jujuy,AR-Y,590000
AR,La Pampa,AR-L,4c0000
AR,La Rioja,AR-F,460000
AR,Mendoza,AR-M,4d0000
AR,Misiones,AR-N,4e0000
AR,Neuquen,AR-Q,510000
AR,Rio Negro,AR-R,520000
AR,Salta,AR-A,410000
AR,San Juan,AR-J,4a0000
AR,San Luis,AR-D,440000
AR,Santa Cruz,AR-Z,5a0000
AR,Santa Fe,AR-S,530000
AR,Santiago del Estero,AR-G,470000
AR,Tierra del Fuego,AR-V,560000
AR,Tucuman,AR-T,540000
AT,Burgenland,AT-1,310000
AT,Karnten,AT-2,320000
AT,Niederosterreich,AT-3,330000
AT,Oberosterreich,AT-4,340000
AT,Salzburg,AT-5,350000
AT,Steiermark,AT-6,360000
AT,Tirol,AT-7,370000
AT,Vorarlberg,AT-8,380000
AT,Wien,AT-9,390000
AU,Australian Capital Territory,AU-ACT,414354
AU,New South Wales,AU-NSW,4e5357
AU,Northern Territory,AU-NT,4e5400
AU,Queensland,AU-QLD,514c44
AU,South Australia,AU-SA,534100
AU,Tasmania,AU-TAS,544153
AU,Victoria,AU-VIC,564943
AU,Western Australia,AU-WA,574100
AZ,Abseron,AZ-ABS,414253
AZ,Agcabadi,AZ-AGC,414743
AZ,Agdam,AZ-AGM,41474d
AZ,Agdas,AZ-AGS,414753
AZ,Agstafa,AZ-AGA,414741
AZ,Agsu,AZ-AGU,414755
AZ,Astara,AZ-AST,415354
AZ,Baki,AZ-BA,424100
AZ,Balakan,AZ-BAL,42414c
AZ,Barda,AZ-BAR,424152
AZ,Beylaqan,AZ-BEY,424559
AZ,Bilasuvar,AZ-BIL,42494c
AZ,Cabrayil,AZ-CAB,434142
AZ,Calilabad,AZ-CAL,43414c
AZ,Daskasan,AZ-DAS,444153
AZ,Fuzuli,AZ-FUZ,46555a
AZ,Gadabay,AZ-GAD,474144
AZ,Ganca,AZ-GA,474100
AZ,Goranboy,AZ-GOR,474f52
AZ,Goycay,AZ-GOY,474f59
AZ,Goygol,AZ-GYG,475947
AZ,Haciqabul,AZ-HAC,484143
AZ,Imisli,AZ-IMI,494d49
AZ,Ismayilli,AZ-ISM,49534d
AZ,Kalbacar,AZ-KAL,4b414c
AZ,Lacin,AZ-LAC,4c4143
AZ,Lankaran,AZ-LA,4c4100
AZ,Lerik,AZ-LER,4c4552
AZ,Masalli,AZ-MAS,4d4153
AZ,Mingacevir,AZ-MI,4d4900
AZ,Naftalan,AZ-NA,4e4100
AZ,Naxcivan,AZ-NX,4e5800
AZ,Neftcala,AZ-NEF,4e4546
AZ,Oguz,AZ-OGU,4f4755
AZ,Qabala,AZ-QAB,514142
AZ,Qax,AZ-QAX,514158
AZ,Qazax,AZ-QAZ,51415a
AZ,Qobustan,AZ-QOB,514f42
AZ,Quba,AZ-QBA,514241
AZ,Qubadli,AZ-QBI,514249
AZ,Qusar,AZ-QUS,515553
AZ,Saatli,AZ-SAT,534154
AZ,Sabirabad,AZ-SAB,534142
